PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
0368lxx5-5cc27f1a941a0930acb2f2ed911302e0,UPDATE,NAME,TRUE,en,OFFICIAL,Columbia Aged Care,OFFICIAL,en,Columbia Aged Care.
0366012b-bb79091025b701ad7a781c1a8e58dd92,UPDATE,NAME,TRUE,en,OFFICIAL,RFBI Roselands Masonic Retirement Village,OFFICIAL,en,RFBI Roselands Masonic Village
036a8ab2-c338d47eb7773f25b446abe177f86ca4,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Edinglassie.,OFFICIAL,en,Edinglassie Village
036r3gqh-a194d2f13a96495f925db8435acc2376,UPDATE,NAME,TRUE,en,OFFICIAL,Craiglea Village,OFFICIAL,en,Craiglea
036r3gr5-d7d23ddc0d83d0dec3df3b6a55f255b2,UPDATE,NAME,TRUE,en,OFFICIAL,Advantaged Care,OFFICIAL,en,Advantaged Care at Georges Manor
0368lxx5-ef0ad6109c20075e7fd1e2336010308c,UPDATE,NAME,TRUE,en,OFFICIAL,Bayview Gardens Retirement Village,OFFICIAL,en,Aveo Bayview Gardens
036r3grn-04e9e3fc8d734300a38fb7b8db1de6ac,UPDATE,NAME,TRUE,en,OFFICIAL,Bolton Clarke Rosemore,OFFICIAL,en,Rosemore Aged Care
036r3gwc-5ea054dbc4dd45cb978474b134cbc860,UPDATE,NAME,TRUE,en,OFFICIAL,Southern Cross Care,OFFICIAL,en,Southern Cross Village South Coogee
03629974-1e6fa1045104c28b2909e2c4cd737835,UPDATE,NAME,TRUE,en,OFFICIAL,IRT Thomas Holt Stafford Court,OFFICIAL,en,Thomas Holt Villages Stafford Court
036q9wpy-0941aef2859305270a920d818569d8bb,UPDATE,NAME,TRUE,en,OFFICIAL,St Elizabeth Home,OFFICIAL,en,Symonds Rd Opp St Elizabeth Nursing Home
036cb259-354a1f6e6ed5bf43c3f095c5455436e5,UPDATE,NAME,TRUE,en,OFFICIAL,Southern Cross Care,OFFICIAL,en,Southern Cross Homes
036r652n-0d538f2bcd268eafc604a035e491425e,UPDATE,NAME,TRUE,en,OFFICIAL,Adventist Aged Care,OFFICIAL,en,Adventist Aged Care - Wahroonga
036r3grd-5e698d9ed82f4475908a6be4b080b946,UPDATE,NAME,TRUE,en,OFFICIAL,Genista Aged Care,OFFICIAL,en,Genista Aged Care Facility
0369766d-2a98e188dd74e650aa3cc53e12ebd6e2,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Bankstown,OFFICIAL,en,Uniting Bankstown Centre
036r3gqu-bd08bf82b0ed4b1c813adda9b77e3dc3,UPDATE,NAME,TRUE,en,OFFICIAL,Beechwood Aged Care,OFFICIAL,en,Beechwood Aged Care
036r6587-a8664e5ad07fd0201c2d1eb686b1f551,UPDATE,NAME,TRUE,en,OFFICIAL,Baldwin Living Seabeach Gardens,OFFICIAL,en,Seabeach Gardens
036412f1-00e7b8715e00742f3d3094850f91d393,UPDATE,NAME,TRUE,en,OFFICIAL,Minkara Resort Retirement Living,OFFICIAL,en,Aveo Minkara Resort
036r3gqm-c48a8ab2d3f74f27bb4ca0fe564ea0ef,UPDATE,NAME,TRUE,en,OFFICIAL,Donald Robinson Village,OFFICIAL,en,Anglican Retirement Villages
036r3grr-7268651a59614301a04418ae68f2e19e,UPDATE,NAME,TRUE,en,OFFICIAL,Russell Lea,OFFICIAL,en,Russell Lea Aged Care Facility
036r6584-fb11f683535a44a39f12efeb3f285a14,UPDATE,NAME,TRUE,en,OFFICIAL,Elizabeth Jenkins Place Aged Care Centre,OFFICIAL,en,The Salvation Army Elizabeth Jenkins Place
036r3gr5-3020045cd68c49529096b44c02808f5d,UPDATE,NAME,TRUE,en,OFFICIAL,Bankstown City Aged Care,OFFICIAL,en,Bankstown City Aged-Corporate
036r3gqq-1c039fbaa2179fc046951f414aee109c,UPDATE,NAME,TRUE,en,OFFICIAL,Moran Aged Care,OFFICIAL,en,Moran Gallery
036eaf5c-5e40df1a5d51ee6ce73355209c05efd1,UPDATE,NAME,TRUE,en,OFFICIAL,Camden Downs Retirement Village,OFFICIAL,en,Aveo Camden Downs
036r6524-8f6613cab2944d9e91e6e8ef189497bb,UPDATE,NAME,TRUE,en,OFFICIAL,Adventist Aged Care & Retirement Villages PVT LTD,OFFICIAL,en,Adventist Aged Care - Kings Langley
036r3grf-8237afd888a24e9eab9485ab12efce65,UPDATE,NAME,TRUE,en,OFFICIAL,Hardi Aged Care,OFFICIAL,en,Blacktown Nursing Home
036r652n-925513ee8a036d9ad3438a5285b879a3,UPDATE,NAME,TRUE,en,OFFICIAL,MarkMoran Group,OFFICIAL,en,Mark Moran Warrawee
036r3gqv-c1be184395404051a73702957f97e3b4,UPDATE,NAME,TRUE,en,OFFICIAL,St. Basil's,OFFICIAL,en,St. Basil's Lakemba
036r652h-b708e4020c4a49feaa298fbea739f9ff,UPDATE,NAME,TRUE,en,OFFICIAL,Castle Ridge,OFFICIAL,en,Castle Ridge Resort
036r652k-9dd035a60f654105ba6827b44026b3ae,UPDATE,NAME,TRUE,en,OFFICIAL,Uniting Kentgrove,OFFICIAL,en,Uniting Kentgrove Lodge Kenthurst
0361r4ve-9f09398db43901679ae12b981b365ad2,UPDATE,NAME,TRUE,en,OFFICIAL,Elizabeth Lodge,OFFICIAL,en,Elizabeth Lodge Nursing Home
03640db9-2963606c1bf91c024da5cdad7a5a25de,UPDATE,NAME,TRUE,en,OFFICIAL,Cranbrook Residences,OFFICIAL,en,Cranbrook Residences - Norwest
036r3gxc-fc0d984b8dca4af9982f043cce520a6a,UPDATE,NAME,TRUE,en,OFFICIAL,Scalabrini Allambie Heights,OFFICIAL,en,Scalabrini Village Allambie Heights
036r3grs-434b8f40deed436b8f67bc07ac600e1c,UPDATE,NAME,TRUE,en,OFFICIAL,Southern Cross,OFFICIAL,en,Southern Cross Community Healthcare
